CHK02^ADMIN~Servidor~de~administración	10.140.0.215	2001
CHK03^APACHEDFT~HTTP~server~basado~en~Apache~de~ejemplo~suministrado~por~IBM	10.140.0.215	80
CHK04^ATMMONITOR~ATM-Monitor	10.140.0.215	30050
CHK05^AZ7NTW~Web~Service~Emisión~Instantánea~Versión~2.6	10.140.0.215	10064
CHK06^AZ7WSS~Web~services~server~para~Falabella~Perú	10.140.0.215	10010
CHK07^AZMONITOFL~AZ-MONITOR~FALABELLA~CHILE	10.140.0.215	30031
CHK08^AZMONITOMX~Servidor~AZ-Monitor~Mexico	10.140.0.215	18001
CHK09^AZMONITOR~Servidor~para~Az-Monitor	10.140.0.215	18002
CHK10^AZSSL~Web~services~server~Seguro~Falabella~Perú.	10.140.0.215	10053
CHK11^CONLOGCVVD~Consulta~Datos~del~LOG~de~CVVD	10.140.0.215	10083
CHK12^IWADFT~	10.140.0.215	2020
CHK13^PRUEBA~	10.140.0.215	10032
CHK14^PRUEBALIL~Web~services~server~created~by~the~Create~Web~Services~Server~wizard.	10.140.0.215	10094
CHK15^SER_PRV~SERVIDOR	10.140.0.215	80
CHK16^WQLIB85~	10.140.0.215	12331
CHK17^WSAZ7ARG~Servidor~de~servicios~Web~ARGENTINA	10.140.0.215	10021
CHK18^WSFIF~PRUEBA	10.140.0.215	10555